Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-10-06 00:00:00,362.1600036621094,365.29998779296875,361.3699951171875,364.3800048828125,17093700,0.0,0.0,0.0
2025-10-07 00:00:00,366.510009765625,367.2699890136719,364.54998779296875,366.260009765625,16836800,0.0,0.0,0.0
2025-10-08 00:00:00,371.6499938964844,373.57000732421875,370.5,372.29998779296875,28052300,0.0,0.0,0.0
2025-10-09 00:00:00,373.1400146484375,373.2200012207031,362.8299865722656,365.42999267578125,33674800,0.0,0.0,0.0
2025-10-10 00:00:00,367.5400085449219,370.30999755859375,365.44000244140625,369.1199951171875,24192800,0.0,0.0,0.0
2025-10-13 00:00:00,376.5,378.8599853515625,375.5799865722656,378.0899963378906,18514400,0.0,0.0,0.0
2025-10-14 00:00:00,378.2099914550781,382.3800048828125,377.8999938964844,380.7900085449219,18409600,0.0,0.0,0.0
2025-10-15 00:00:00,385.92999267578125,387.760009765625,384.5899963378906,387.3900146484375,20598300,0.0,0.0,0.0
2025-10-16 00:00:00,391.1499938964844,396.8699951171875,390.3999938964844,396.45001220703125,33621400,0.0,0.0,0.0
2025-10-17 00:00:00,397.1400146484375,397.2799987792969,385.2200012207031,388.989990234375,62025000,0.0,0.0,0.0
2025-10-20 00:00:00,397.45001220703125,403.29998779296875,394.20001220703125,403.1499938964844,34523000,0.0,0.0,0.0
2025-10-21 00:00:00,386.5400085449219,388.8900146484375,375.6499938964844,377.239990234375,54101400,0.0,0.0,0.0
2025-10-22 00:00:00,372.75,378.4700012207031,368.92999267578125,377.2799987792969,30524100,0.0,0.0,0.0
2025-10-23 00:00:00,381.4599914550781,382.25,378.6499938964844,378.7900085449219,13695500,0.0,0.0,0.0
2025-10-24 00:00:00,378.510009765625,380.7699890136719,376.80999755859375,377.5199890136719,13263800,0.0,0.0,0.0
2025-10-27 00:00:00,371.1300048828125,371.5899963378906,365.3399963378906,367.010009765625,23657600,0.0,0.0,0.0
2025-10-28 00:00:00,361.80999755859375,365.29998779296875,360.1199951171875,364.3800048828125,19257600,0.0,0.0,0.0
2025-10-29 00:00:00,369.6499938964844,370.0799865722656,361.3599853515625,363.0,18891800,0.0,0.0,0.0
2025-10-30 00:00:00,365.0899963378906,370.3599853515625,364.5,370.1300048828125,14812800,0.0,0.0,0.0
2025-10-31 00:00:00,370.4700012207031,370.6600036621094,365.5,368.1199951171875,11077900,0.0,0.0,0.0
2025-11-03 00:00:00,368.9100036621094,370.8399963378906,367.5400085449219,368.7799987792969,7254300,0.0,0.0,0.0
2025-11-04 00:00:00,363.4800109863281,365.739990234375,361.3900146484375,362.32000732421875,11540100,0.0,0.0,0.0
2025-11-05 00:00:00,366.3900146484375,367.1000061035156,364.6499938964844,366.510009765625,8357300,0.0,0.0,0.0
2025-11-06 00:00:00,367.1600036621094,368.17999267578125,364.70001220703125,366.07000732421875,6864800,0.0,0.0,0.0
