open_time,open,high,low,close,volume
2025-11-05 16:00:00,965.68,965.68,963.04,963.12,851.81
2025-11-05 16:01:00,963.12,965.07,963.12,964.39,465.805
2025-11-05 16:02:00,964.39,966.03,964.39,965.26,754.679
2025-11-05 16:03:00,965.26,965.75,963.7,964.46,1561.564
2025-11-05 16:04:00,964.46,964.57,963.4,964.34,377.426
2025-11-05 16:05:00,964.34,965.42,964.18,965.26,196.846
2025-11-05 16:06:00,965.25,965.95,964.28,964.54,181.583
2025-11-05 16:07:00,964.53,965.49,964.53,965.03,411.983
2025-11-05 16:08:00,965.04,966.44,965.04,966.07,428.094
2025-11-05 16:09:00,966.07,966.98,964.99,965.67,959.895
2025-11-05 16:10:00,965.67,965.67,964.34,964.63,256.773
2025-11-05 16:11:00,964.64,964.76,964.34,964.34,152.731
2025-11-05 16:12:00,964.34,964.35,962.0,962.44,807.156
2025-11-05 16:13:00,962.44,962.47,961.7,962.13,500.724
2025-11-05 16:14:00,962.13,962.13,960.67,960.95,360.723
2025-11-05 16:15:00,960.96,961.54,959.26,960.44,1573.556
2025-11-05 16:16:00,960.45,960.72,959.9,959.95,241.534
2025-11-05 16:17:00,959.96,960.36,959.51,959.85,406.525
2025-11-05 16:18:00,959.84,959.85,958.9,959.8,251.981
2025-11-05 16:19:00,959.8,961.67,959.8,960.94,507.905
2025-11-05 16:20:00,960.95,961.19,958.17,958.17,670.575
2025-11-05 16:21:00,958.17,959.88,958.17,958.79,478.777
2025-11-05 16:22:00,958.79,958.9,957.21,958.39,395.073
2025-11-05 16:23:00,958.4,958.4,957.91,957.92,109.709
2025-11-05 16:24:00,957.92,958.46,957.45,958.01,302.701
2025-11-05 16:25:00,958.01,958.92,957.78,958.5,145.923
2025-11-05 16:26:00,958.51,959.43,958.51,959.06,159.57
2025-11-05 16:27:00,959.05,959.08,958.2,958.86,134.014
2025-11-05 16:28:00,958.86,958.86,958.1,958.1,108.369
2025-11-05 16:29:00,958.1,959.54,958.0,959.34,408.001
2025-11-05 16:30:00,959.34,959.49,958.83,959.17,229.004
2025-11-05 16:31:00,959.18,959.63,958.9,959.41,154.606
2025-11-05 16:32:00,959.41,960.58,959.41,960.04,233.666
2025-11-05 16:33:00,960.03,961.5,960.03,961.5,356.435
2025-11-05 16:34:00,961.5,962.1,961.07,961.87,367.035
2025-11-05 16:35:00,961.87,962.22,960.7,960.72,185.184
2025-11-05 16:36:00,960.71,961.8,960.6,961.8,79.024
2025-11-05 16:37:00,961.79,963.26,961.79,962.85,845.569
2025-11-05 16:38:00,962.85,963.6,962.85,963.6,294.443
2025-11-05 16:39:00,963.61,963.75,962.95,963.29,191.461
2025-11-05 16:40:00,963.3,963.58,961.89,961.89,288.0
2025-11-05 16:41:00,961.89,961.95,960.88,961.01,226.875
2025-11-05 16:42:00,961.02,962.18,961.02,962.18,51.172
2025-11-05 16:43:00,962.18,963.0,961.0,962.31,761.884
2025-11-05 16:44:00,962.31,962.41,960.86,961.21,709.362
2025-11-05 16:45:00,961.22,962.01,961.14,961.59,106.305
2025-11-05 16:46:00,961.59,961.84,960.97,961.51,146.301
2025-11-05 16:47:00,961.51,963.42,961.28,962.87,340.547
2025-11-05 16:48:00,962.87,964.69,962.3,964.59,347.69
2025-11-05 16:49:00,964.59,965.32,964.31,965.26,352.518
2025-11-05 16:50:00,965.26,965.79,964.99,965.65,347.475
2025-11-05 16:51:00,965.66,966.2,964.79,965.02,575.998
2025-11-05 16:52:00,965.03,965.53,964.81,965.51,359.654
2025-11-05 16:53:00,965.52,965.9,964.5,965.9,223.518
2025-11-05 16:54:00,965.9,967.11,965.77,967.1,343.078
2025-11-05 16:55:00,967.1,967.47,966.35,966.63,385.005
2025-11-05 16:56:00,966.64,967.03,966.39,967.03,209.401
2025-11-05 16:57:00,967.03,967.45,966.44,967.2,373.724
2025-11-05 16:58:00,967.19,967.2,966.13,967.11,441.769
2025-11-05 16:59:00,967.11,967.97,966.79,967.16,282.914
2025-11-05 17:00:00,967.16,967.29,964.61,964.62,820.574
2025-11-05 17:01:00,964.61,965.54,964.09,964.53,283.559
2025-11-05 17:02:00,964.53,966.02,964.53,964.71,332.528
2025-11-05 17:03:00,964.71,964.9,963.87,964.9,413.879
2025-11-05 17:04:00,964.9,964.9,962.86,963.04,1046.762
2025-11-05 17:05:00,963.04,963.41,962.61,962.61,285.125
2025-11-05 17:06:00,962.61,964.06,962.6,963.69,368.425
2025-11-05 17:07:00,963.69,964.34,962.9,963.69,281.308
2025-11-05 17:08:00,963.69,963.69,962.0,962.51,407.664
2025-11-05 17:09:00,962.52,962.87,962.51,962.75,138.542
2025-11-05 17:10:00,962.74,962.75,961.05,961.14,246.437
2025-11-05 17:11:00,961.14,961.8,961.1,961.51,133.491
2025-11-05 17:12:00,961.52,961.7,961.2,961.27,74.874
2025-11-05 17:13:00,961.27,961.61,961.13,961.13,125.971
2025-11-05 17:14:00,961.13,961.13,959.7,960.18,315.116
2025-11-05 17:15:00,960.19,961.37,959.82,961.06,405.927
2025-11-05 17:16:00,961.07,962.28,961.06,961.66,220.553
2025-11-05 17:17:00,961.66,962.62,961.57,962.06,147.833
2025-11-05 17:18:00,962.06,962.06,961.1,961.52,299.254
